2016.11.07 15:31;USDCHF
no.;time;close;BB +2s
216;1477407600;0.99491;0.99483104
217;1477404000;0.99407;0.99462573
218;1477400400;0.99418;0.99461939
219;1477396800;0.99384;0.99457857
220;1477393200;0.99388;0.99466705
221;1477389600;0.99398;0.99465548
222;1477386000;0.99405;0.9946728
223;1477382400;0.99394;0.99477172
224;1477378800;0.99399;0.99484095
225;1477375200;0.99389;0.9949513
226;1477371600;0.99359;0.99522872
227;1477368000;0.994;0.99526889
228;1477364400;0.99386;0.99528751
229;1477360800;0.99402;0.99531194
230;1477357200;0.99367;0.99533211
231;1477353600;0.99211;0.9953337
232;1477350000;0.99301;0.9951477
233;1477346400;0.99356;0.99511044
234;1477342800;0.99341;0.99525173
235;1477339200;0.99325;0.995309
236;1477335600;0.9934;0.99539673
237;1477332000;0.99402;0.99553609
238;1477328400;0.99385;0.99563942
239;1477324800;0.99444;0.99579468
240;1477321200;0.99372;0.99579203
241;1477317600;0.99412;0.99576725
242;1477314000;0.99462;0.99576425
243;1477310400;0.99445;0.99578241
244;1477306800;0.99471;0.99582075
245;1477303200;0.99542;0.99581067
246;1477299600;0.99428;0.99572269
247;1477296000;0.99423;0.99577775
248;1477292400;0.99422;0.99580918
249;1477288800;0.99427;0.99585819
250;1477112400;0.99376;0.9958623
251;1477108800;0.99344;0.99586826
252;1477105200;0.99417;0.99604476
253;1477101600;0.9951;0.99621993
254;1477098000;0.99484;0.99626787
255;1477094400;0.99522;0.99632522
256;1477090800;0.99551;0.99628426
257;1477087200;0.99526;0.99613792
258;1477083600;0.99564;0.9960274
259;1477080000;0.99426;0.9960035
260;1477076400;0.9944;0.99603927
261;1477072800;0.99435;0.99601457
262;1477069200;0.99487;0.99610408
263;1477065600;0.99502;0.99641704
264;1477062000;0.99421;0.99647931
265;1477058400;0.99476;0.9965288
266;1477054800;0.99512;0.99634342
267;1477051200;0.99498;0.99597122
268;1477047600;0.99518;0.99558754
269;1477044000;0.99416;0.99499743
270;1477040400;0.99371;0.99457
